cert,year,uninum,county_fips,deposits_kusd
35583,2009,441458.0,47187,3654
35583,2009,443463.0,47165,65580
35583,2009,447397.0,47037,9355
35583,2009,449793.0,47189,126280
35583,2009,452110.0,47187,24670
35583,2009,461756.0,47037,18157
35583,2009,466479.0,47093,237118
35583,2009,469945.0,47037,6111
35583,2009,473709.0,47037,210202
873,2010,152.0,13275,306924
873,2010,556.0,13215,3343178
873,2010,1139.0,01127,62083
873,2010,1390.0,45085,165807
873,2010,1834.0,01127,312195
873,2010,3889.0,13031,267038
873,2010,5793.0,01113,172960
873,2010,6435.0,13225,86762
873,2010,6441.0,13185,448317
873,2010,7204.0,12091,78137
873,2010,7450.0,13213,120776
873,2010,8776.0,13297,159209
873,2010,9925.0,13277,295157
873,2010,10088.0,13285,162368
873,2010,10706.0,13275,26208
873,2010,10736.0,13045,80487
873,2010,10996.0,13127,209438
873,2010,11077.0,45051,99080
873,2010,12722.0,13217,119275
873,2010,13448.0,01069,79036
873,2010,13925.0,13095,184288
873,2010,13972.0,13143,39104
873,2010,14341.0,13045,40414
873,2010,14388.0,13077,122709
873,2010,14390.0,12033,361862
873,2010,14409.0,13295,33398
873,2010,14656.0,01101,434974
873,2010,15103.0,13261,138481
873,2010,15151.0,12073,107633
873,2010,15581.0,12091,21531
873,2010,16662.0,12033,30720
873,2010,17550.0,01089,257095
873,2010,32033.0,13153,97604
873,2010,32828.0,13219,60847
873,2010,32917.0,01073,1246496
873,2010,35980.0,13113,72573
873,2010,36353.0,13067,229468
873,2010,38655.0,13097,48476
873,2010,38680.0,12089,188056
873,2010,39007.0,13129,297785
873,2010,39022.0,12091,38989
873,2010,39112.0,01125,237236
873,2010,39157.0,13045,43328
873,2010,39561.0,13089,128366
873,2010,39934.0,13067,205709
873,2010,40260.0,45083,112518
873,2010,40433.0,13063,21346
873,2010,40631.0,13115,245724
873,2010,41059.0,13059,308910
873,2010,42500.0,13153,71188
873,2010,43832.0,13119,29221
873,2010,44037.0,13121,717838
873,2010,45016.0,45019,213959
873,2010,45549.0,47037,247409
873,2010,47722.0,01073,50724
873,2010,56138.0,47157,107741
873,2010,56829.0,12103,57449
873,2010,73836.0,12115,31004
873,2010,74894.0,12021,112278
873,2010,181337.0,13275,50083
873,2010,186443.0,13215,26781
873,2010,186444.0,13215,57111
873,2010,186445.0,13215,34274
873,2010,186446.0,13215,35113
873,2010,186447.0,13215,25371
873,2010,186448.0,13215,29589
873,2010,186449.0,13053,32866
873,2010,186450.0,13215,50744
873,2010,186452.0,13215,22942
873,2010,186455.0,13215,65481
873,2010,186457.0,13215,82824
873,2010,186470.0,13215,16827
873,2010,186472.0,13215,16355
873,2010,186475.0,13215,48690
873,2010,186478.0,13215,11032
873,2010,186480.0,13215,26832
873,2010,191332.0,45079,1189956
873,2010,191333.0,45027,78169
873,2010,191334.0,45085,47174
873,2010,191335.0,45061,60622
873,2010,191336.0,45079,90401
873,2010,191339.0,45079,25827
