county_fips,year,cert,deposits
13031,2025,12437,226691
13031,2025,3511,201716
13031,2025,9846,162679
13039,2025,20504,266799
13039,2025,873,87901
13039,2025,5685,66767
13039,2025,15699,55853
13039,2025,12437,13173
13043,2025,873,122400
13043,2025,15336,66097
13043,2025,15699,61884
13043,2025,2138,36048
13045,2025,110,1067134
13045,2025,873,444673
13045,2025,9846,427725
13045,2025,16889,390913
13045,2025,58558,297752
13051,2025,3511,1416807
13051,2025,9846,1367936
13051,2025,3510,1315322
13051,2025,33555,660323
13051,2025,20504,591811
13053,2025,873,46494
13057,2025,3511,1335572
13057,2025,873,614991
13057,2025,9846,537326
13057,2025,12368,493106
13057,2025,3510,458916
13059,2025,873,1125856
13059,2025,9846,549152
13059,2025,3510,480796
13059,2025,16858,451713
13059,2025,3511,393731
13067,2025,873,8457677
13067,2025,3511,4230923
13067,2025,3510,3675527
13067,2025,9846,2964206
13067,2025,628,1466284
13073,2025,3511,786303
13073,2025,33555,542992
13073,2025,2138,349468
13073,2025,12368,341650
13073,2025,873,257406
13077,2025,873,365830
13077,2025,9846,348075
13077,2025,58558,315177
13077,2025,3510,278223
13077,2025,110,261427
13089,2025,3511,3766670
13089,2025,3510,3412049
13089,2025,9846,2038429
13089,2025,628,1407303
13089,2025,58181,1153411
13095,2025,20504,564370
13095,2025,12437,300056
13095,2025,58074,281028
13095,2025,9846,255685
13095,2025,35029,225838
13097,2025,57993,324565
13097,2025,873,310763
13097,2025,3510,279637
13097,2025,9846,272430
13097,2025,3511,258894
13113,2025,9846,876086
13113,2025,3511,644702
13113,2025,3510,622655
13113,2025,16889,339826
13113,2025,873,321114
13115,2025,16889,499915
13115,2025,110,363381
13115,2025,58289,277356
13115,2025,873,274118
13115,2025,12368,249915
13117,2025,9846,1152443
13117,2025,3511,1116513
13117,2025,628,974029
13117,2025,16889,748771
13117,2025,12368,623313
13121,2025,9846,44799941
13121,2025,3510,32296539
13121,2025,3511,18538327
13121,2025,26342,5981498
13121,2025,628,5669946
13127,2025,20504,536229
13127,2025,9846,469784
13127,2025,5694,349664
13127,2025,16889,296755
13127,2025,3510,276352
13129,2025,873,341389
13129,2025,34662,218999
13129,2025,9846,134236
13129,2025,3511,116002
13129,2025,110,81127
13135,2025,3511,4787477
13135,2025,3510,4224767
13135,2025,9846,3174744
13135,2025,628,1952025
13135,2025,12437,1020700
13143,2025,110,343065
13143,2025,57686,290622
13143,2025,873,192309
13143,2025,9846,89232
13147,2025,14065,162253
13147,2025,873,156021
13147,2025,15771,105925
13147,2025,33555,64601
13147,2025,11063,60995
13151,2025,20504,647896
13151,2025,3511,586362
13151,2025,9846,460811
13151,2025,3510,455968
13151,2025,16889,247867
13153,2025,873,546821
13153,2025,9846,338705
13153,2025,17910,304962
13153,2025,3511,276975
13153,2025,3510,267842
13177,2025,873,203867
13177,2025,22257,106489
13177,2025,12437,85160
13177,2025,15496,19397
13177,2025,21292,5792
13185,2025,873,556329
13185,2025,57127,405347
13185,2025,3510,337013
13185,2025,20504,297766
13185,2025,12437,279425
13213,2025,22092,167189
13213,2025,873,133711
13213,2025,110,106923
13213,2025,12368,51658
13215,2025,873,5303698
13215,2025,9846,1098464
13215,2025,3511,865632
13215,2025,58558,357523
13215,2025,3510,214844
13217,2025,29510,241095
13217,2025,873,227783
13217,2025,9846,180035
13217,2025,172,179262
13217,2025,14065,152164
13219,2025,18143,438528
13219,2025,3510,436277
13219,2025,873,275054
13219,2025,110,142498
13219,2025,16418,140128
13223,2025,12368,521846
13223,2025,9846,298571
13223,2025,3511,223073
13223,2025,110,198523
13223,2025,3510,161582
13225,2025,873,149984
13225,2025,9846,91822
13225,2025,16825,81546
13227,2025,35513,508474
13227,2025,12437,161534
13227,2025,16889,156705
13227,2025,11063,128730
13227,2025,110,90844
13245,2025,3511,1144786
13245,2025,33555,676703
13245,2025,2138,602740
13245,2025,3510,599619
13245,2025,9846,404539
13247,2025,9846,383339
13247,2025,3511,307692
13247,2025,3510,302061
13247,2025,16889,258806
13247,2025,873,166997
13261,2025,15477,394772
13261,2025,3511,358233
13261,2025,873,190396
13261,2025,19163,38152
13261,2025,21292,20301
13275,2025,34068,1259571
13275,2025,873,303013
13275,2025,29331,234813
13275,2025,20504,116904
13275,2025,12437,69270
13277,2025,873,410265
13277,2025,20504,380420
13277,2025,20198,236655
