fips,county_name,state_name,popestimate2020,popestimate2025,domesticmig_2021_2025,netmig_2021_2025,births_2021_2025,deaths_2021_2025
05109,Pike County,Arkansas,10158,9964,74,123,558,873
05111,Poinsett County,Arkansas,22953,22483,-8,53,1438,1959
05113,Polk County,Arkansas,19186,19486,859,887,1029,1615
05115,Pope County,Arkansas,63414,64976,1263,1599,3463,3513
05117,Prairie County,Arkansas,8247,7923,-21,-2,376,691
05119,Pulaski County,Arkansas,399252,404611,-3612,3005,24438,22036
05121,Randolph County,Arkansas,18593,18876,442,528,1192,1419
05123,St. Francis County,Arkansas,23019,21800,-1315,-1098,1417,1535
05125,Saline County,Arkansas,123830,133288,8570,9846,6902,7352
05127,Scott County,Arkansas,9828,9965,420,424,566,855
05129,Searcy County,Arkansas,7845,7848,311,315,364,673
05131,Sebastian County,Arkansas,127807,130641,1622,2937,7774,7929
05133,Sevier County,Arkansas,15778,15758,-195,-83,1049,983
05135,Sharp County,Arkansas,17313,18122,1476,1483,863,1535
05137,Stone County,Arkansas,12350,12703,929,900,580,1141
05139,Union County,Arkansas,38942,36926,-1683,-1466,2309,2859
05141,Van Buren County,Arkansas,15803,16238,1034,1065,716,1378
05143,Washington County,Arkansas,246756,271213,10810,18130,16251,10037
05145,White County,Arkansas,76854,80085,3800,4014,4382,5225
05147,Woodruff County,Arkansas,6222,5710,-276,-276,311,548
05149,Yell County,Arkansas,20218,19956,-192,40,1191,1492
06001,Alameda County,California,1680489,1636630,-141108,-70669,82588,54508
06003,Alpine County,California,1180,1043,-71,-62,27,100
06005,Amador County,California,40567,41876,2267,2409,1561,2635
06007,Butte County,California,210204,209211,-643,1033,9978,11833
06009,Calaveras County,California,45349,46605,2228,2330,1855,2894
06011,Colusa County,California,21858,21836,-536,-392,1334,982
06013,Contra Costa County,California,1166249,1170070,-43608,-11083,57422,43515
06015,Del Norte County,California,27619,26410,-647,-659,1287,1910
06017,El Dorado County,California,191237,192323,1792,3041,7382,9157
06019,Fresno County,California,1009563,1035456,-23933,278,67590,42277
06021,Glenn County,California,28889,28141,-1202,-883,1709,1585
06023,Humboldt County,California,136298,131647,-3162,-2671,5692,7632
06025,Imperial County,California,179532,181411,-6872,-2745,11766,7154
06027,Inyo County,California,18989,18158,-467,-410,754,1174
06029,Kern County,California,905960,927068,-14010,-1086,60583,38881
06031,Kings County,California,152813,154327,-5279,-3537,10427,5379
06033,Lake County,California,68208,67772,693,1184,3262,4806
06035,Lassen County,California,32349,28117,-4528,-4304,1375,1486
06037,Los Angeles County,California,9996510,9694934,-667953,-388540,467806,374010
06039,Madera County,California,156396,167927,6049,7639,10673,6673
06041,Marin County,California,261337,253694,-14290,-8063,11068,10834
06043,Mariposa County,California,17130,16918,-27,188,745,1148
06045,Mendocino County,California,91348,88122,-3354,-2396,4040,4932
06047,Merced County,California,282895,297260,1932,6472,18761,10851
06049,Modoc County,California,8679,8426,-83,54,373,679
06051,Mono County,California,13222,12505,-1254,-979,570,341
06053,Monterey County,California,440493,433729,-26520,-19591,27149,14848
06055,Napa County,California,137481,132949,-5824,-4244,6064,6423
06057,Nevada County,California,102280,101911,1349,1712,3926,5859
06059,Orange County,California,3186167,3149507,-144371,-70061,151432,117415
06061,Placer County,California,405971,442081,31019,36641,18734,19027
06063,Plumas County,California,19745,18583,-723,-613,729,1272
06065,Riverside County,California,2424446,2544916,60885,90682,134760,104549
06067,Sacramento County,California,1586769,1618460,-42937,9387,89138,67549
06069,San Benito County,California,64525,70082,3550,3855,3982,2186
06071,San Bernardino County,California,2183200,2224091,-30701,469,128279,88973
